Filename                                                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
codecoverage/dist/include/js/String.h                                         27                26     3.70%          18                17     5.56%         118               115     2.54%           2                 2     0.00%
codecoverage/dist/include/js/StructuredClone.h                                44                44     0.00%          36                36     0.00%         115               115     0.00%           4                 4     0.00%
codecoverage/dist/include/js/SweepingAPI.h                                    14                 2    85.71%          12                 2    83.33%          25                 2    92.00%           2                 1    50.00%
codecoverage/dist/include/js/Symbol.h                                          3                 0   100.00%           1                 0   100.00%           3                 0   100.00%           4                 1    75.00%
codecoverage/dist/include/js/TraceKind.h                                     150               129    14.00%           4                 3    25.00%          36                32    11.11%          52                35    32.69%
codecoverage/dist/include/js/TracingAPI.h                                     81                33    59.26%          45                21    53.33%         111                52    53.15%           0                 0         -
codecoverage/dist/include/js/Transcoding.h                                     5                 5     0.00%           5                 5     0.00%          22                22     0.00%           0                 0         -
codecoverage/dist/include/js/TypeDecls.h                                       1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
codecoverage/dist/include/js/UbiNode.h                                       159               159     0.00%         127               127     0.00%         247               247     0.00%           2                 2     0.00%
codecoverage/dist/include/js/UbiNodeBreadthFirst.h                            59                59     0.00%          10                10     0.00%          63                63     0.00%          28                28     0.00%
codecoverage/dist/include/js/UbiNodeCensus.h                                  15                15     0.00%          10                10     0.00%          25                25     0.00%           2                 2     0.00%
codecoverage/dist/include/js/UbiNodeShortestPaths.h                          120               120     0.00%          15                15     0.00%         125               125     0.00%          38                38     0.00%
codecoverage/dist/include/js/UbiNodeUtils.h                                    7                 7     0.00%           4                 4     0.00%          11                11     0.00%           2                 2     0.00%
codecoverage/dist/include/js/UniquePtr.h                                       1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
codecoverage/dist/include/js/Utility.h                                       157                89    43.31%          33                12    63.64%         119                37    68.91%          40                29    27.50%
codecoverage/dist/include/js/Value.h                                         424                90    78.77%         170                34    80.00%         608               150    75.33%          74                19    74.32%
codecoverage/dist/include/js/ValueArray.h                                     26                12    53.85%          17                 9    47.06%          30                14    53.33%           0                 0         -
codecoverage/dist/include/js/Warnings.h                                        5                 5     0.00%           2                 2     0.00%           8                 8     0.00%           0                 0         -
codecoverage/dist/include/js/WasmModule.h                                      1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
codecoverage/dist/include/js/WeakMapPtr.h                                      6                 6     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
codecoverage/dist/include/js/Wrapper.h                                        32                16    50.00%          16                 9    43.75%          40                21    47.50%          10                 2    80.00%
codecoverage/dist/include/js/experimental/CTypes.h                             2                 2     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
codecoverage/dist/include/js/experimental/JSStencil.h                          4                 2    50.00%           4                 2    50.00%           6                 4    33.33%           0                 0         -
codecoverage/dist/include/js/experimental/JitInfo.h                           27                23    14.81%          22                20     9.09%          42                38     9.52%           4                 2    50.00%
codecoverage/dist/include/js/experimental/SourceHook.h                         1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
codecoverage/dist/include/js/experimental/TypedData.h                         78                78     0.00%          35                35     0.00%         145               145     0.00%          38                38     0.00%
codecoverage/dist/include/js/friend/DOMProxy.h                                 4                 4     0.00%           4                 4     0.00%           8                 8     0.00%           0                 0         -
codecoverage/dist/include/js/friend/StackLimits.h                             35                12    65.71%          13                 4    69.23%          76                28    63.16%          12                 6    50.00%
codecoverage/dist/include/js/friend/WindowProxy.h                              8                 1    87.50%           2                 0   100.00%          12                 2    83.33%           4                 1    75.00%
codecoverage/dist/include/js/shadow/Function.h                                 3                 3     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
codecoverage/dist/include/js/shadow/Object.h                                   6                 1    83.33%           3                 0   100.00%          15                 1    93.33%           2                 1    50.00%
codecoverage/dist/include/js/shadow/Realm.h                                    3                 0   100.00%           3                 0   100.00%           5                 0   100.00%           0                 0         -
codecoverage/dist/include/js/shadow/String.h                                  14                12    14.29%          14                12    14.29%          44                37    15.91%           0                 0         -
codecoverage/dist/include/js/shadow/Symbol.h                                   1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
codecoverage/dist/include/js/shadow/Zone.h                                    40                13    67.50%          19                 4    78.95%          37                10    72.97%          12                 7    41.67%
codecoverage/dist/include/mozilla/Alignment.h                                  2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
codecoverage/dist/include/mozilla/AllocPolicy.h                               15                 9    40.00%           9                 5    44.44%          25                14    44.00%           4                 3    25.00%
codecoverage/dist/include/mozilla/AlreadyAddRefed.h                            3                 1    66.67%           3                 1    66.67%           7                 1    85.71%           0                 0         -
codecoverage/dist/include/mozilla/Array.h                                     38                28    26.32%          10                 4    60.00%          26                10    61.54%           4                 2    50.00%
codecoverage/dist/include/mozilla/ArrayUtils.h                                 6                 1    83.33%           3                 1    66.67%          10                 3    70.00%           0                 0         -
codecoverage/dist/include/mozilla/Assertions.h                                19                19     0.00%           4                 4     0.00%          41                41     0.00%           0                 0         -
codecoverage/dist/include/mozilla/Atomics.h                                   41                 3    92.68%          41                 3    92.68%          84                 9    89.29%           0                 0         -
codecoverage/dist/include/mozilla/AutoProfilerLabel.h                          1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
codecoverage/dist/include/mozilla/BaseProfileJSONWriter.h                     35                35     0.00%          35                35     0.00%         250               250     0.00%           0                 0         -
codecoverage/dist/include/mozilla/BaseProfilerDetail.h                        27                27     0.00%          27                27     0.00%         108               108     0.00%           0                 0         -
codecoverage/dist/include/mozilla/BaseProfilerMarkers.h                       10                10     0.00%          10                10     0.00%          62                62     0.00%           0                 0         -
codecoverage/dist/include/mozilla/BaseProfilerMarkersDetail.h                 16                16     0.00%          16                16     0.00%         141               141     0.00%           0                 0         -
codecoverage/dist/include/mozilla/BaseProfilerMarkersPrerequisites.h          65                65     0.00%          65                65     0.00%         248               248     0.00%           0                 0         -
codecoverage/dist/include/mozilla/BaseProfilerState.h                          2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
codecoverage/dist/include/mozilla/BaseProfilerUtils.h                         14                14     0.00%          14                14     0.00%          44                44     0.00%           0                 0         -
codecoverage/dist/include/mozilla/BinarySearch.h                              22                 4    81.82%           4                 0   100.00%          35                 5    85.71%          10                 3    70.00%
